ID,Burn,In_Out,lat,long,elev,aspect,aspect_SW,slope,hl_index,dist,dwd,d2wd,rdnbr,dnbr,herb_cov,shrub_cov,tree_cov,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH,temp,winter_aridity,summer_aridity,PIPO,PSME,ABCO,POTR,PJ
POPOUT003,Poplar,OUT,36.34290276,-112.2285556,2485,116.5650024,-0.316228574,21.3360996,0.828322,16,119.9391095,8.463776962,845,526,53,0.5,0,8.338461538,19.74615385,-2.146153846,21.89230769,525.2307692,167.6153846,37.33846154,126.0538462,318.2307692,1997.846154,3674.153846,169.6153846,197.9230769,148,277.8461538,129.9230769,92.53846154,-31.5,35.6,984.2307692,665.6923077,-4604.307692,54.69230769,3.22457605,-1.524771971,1.059497072,0,0,0,15,0
POPOUT012,Poplar,OUT,36.33548468,-112.2816642,2439,270,0.707106781,1.3378,0.833931,5,152.2357713,16.82252074,675,447,23,8,0,8.9,20.37692308,-1.738461538,22.12307692,458.6923077,158.0769231,43.98461538,138.1538462,288.6923077,2134.769231,3515.153846,210.9230769,204.0769231,145.1538462,280.6923077,135.6923077,66.84615385,-30.8,36.3,1032,725.6153846,-4603.853846,54.23076923,4.75972901,-1.063669491,1.693756823,410,0,27,23,0
POPOUT029,Poplar,OUT,36.33185684,-112.2659622,2470,173.9279938,0.62834322,13.5482998,0.873436,13,132.2318594,11.87018826,568,382,38.5,4,0,8.607692308,20.01538462,-1.9,21.91538462,478.8461538,161.6923077,41.53076923,132.4692308,302.2307692,2060.923077,3594.230769,186.8461538,202.0769231,145.6923077,279.8461538,134,75.30769231,-31,35.9,1008.692308,697,-4603.876923,54.84615385,4.042883382,-1.175167666,1.575746314,34,0,11,10,0
POPOUT065,Poplar,OUT,36.32615712,-112.2299303,2441,324.4620056,-0.164393537,15.4865999,0.845769,5,143.2771199,15.80356625,523,356,35.5,10,0,8.561538462,19.93846154,-1.976923077,21.9,506,163.6923077,39.23846154,130.3384615,304.2307692,2047.769231,3607.923077,182.5384615,202.8461538,144.6923077,279.6923077,134.8461538,83.07692308,-31,35.7,998.3076923,678.9230769,-4604.184615,55.38461538,3.739850366,-1.434399196,1.286305354,0,2,4,0,0
POPOUT066,Poplar,OUT,36.32611374,-112.2323917,2436,351.1579895,-0.590013828,32.1251984,0.769831,6,149.8366674,15.97860919,601,429,41,36.5,0,8.638461538,20.03846154,-1.892307692,21.91538462,501.8461538,162.4615385,39.71538462,131.9769231,298.5384615,2066.153846,3582.461538,188.0769231,203.9230769,144.4615385,279.9230769,135.6153846,80.30769231,-30.9,35.8,1001.923077,683.9230769,-4604.153846,55.38461538,3.91620425,-1.43458796,1.341010059,3,0,2,0,0
POPOUT068,Poplar,OUT,36.32557344,-112.1823619,2604,298.071991,0.291169896,16.3882008,0.877005,79,25.46881681,1.122897014,1275,655,88,0.5,7.5,7.730769231,18.9,-2.492307692,21.39230769,592.7692308,174.4615385,32.03076923,115.9384615,347.9230769,1835,3856.538462,124,191.4615385,151.3076923,274.5384615,123.3076923,124,-32.2,34.7,936.7692308,611.6923077,-4604.330769,55.30769231,1.64481168,-2.046378042,0.779171111,2,0,0,53,0
POPOUT072,Poplar,OUT,36.32601888,-112.1783357,2623,310.2359924,0.083051844,3.62344,0.833521,3,44.36568706,5.085802112,864,471,8,0,17.5,7.630769231,18.80769231,-2.561538462,21.36153846,602,175.3076923,31.4,114.9923077,352,1815.153846,3881.076923,119.3076923,189.7692308,152.2307692,274.2307692,121.8461538,128.7692308,-32.4,34.6,933.9230769,606.6923077,-4604.330769,54.92307692,1.452164039,-2.121299124,0.722382515,4,0,0,22,0
POPOUT073,Poplar,OUT,36.32557711,-112.1691603,2615,140.7109985,0.099510759,20.8572006,0.857673,51,63.88590649,3.601757128,1123,721,19,10.5,0,7.630769231,18.74615385,-2.553846154,21.29230769,607.0769231,174.9230769,31.10769231,114.9153846,351.3846154,1808.076923,3884.923077,117.1538462,189.7692308,152.1538462,274.2307692,121.8461538,130.7692308,-32.4,34.5,932.4615385,605.6153846,-4604.338462,54.92307692,1.388682816,-2.191839901,0.746257536,0,0,0,37,0
POPOUT085,Poplar,OUT,36.32461636,-112.185244,2601,327.5289917,-0.216933593,16.2987003,0.835287,30,36.84446366,1.976794997,883,460,9,2.5,41.5,7.738461538,18.93076923,-2.461538462,21.4,589.2307692,174.4615385,32.23846154,116.2076923,346.9230769,1841.153846,3849.846154,125.4615385,191.8461538,151.0769231,274.6923077,123.7692308,122.3076923,-32.2,34.7,937.6923077,612.8461538,-4604.330769,55.38461538,1.698959699,-2.012629667,0.802694794,0,0,0,89,0
POPOUT086,Poplar,OUT,36.32467586,-112.1801425,2632,0,-0.707106781,1.3378,0.819848,45,17.66784384,1.118060114,1076,639,3,7.5,41.5,7.630769231,18.79230769,-2.561538462,21.36923077,603.3076923,175.6153846,31.28461538,114.6923077,353.5384615,1811.307692,3887.538462,118.9230769,189.5384615,152.6153846,273.7692308,121.3076923,129.6153846,-32.5,34.6,933.2307692,605.3846154,-4604.330769,54.92307692,1.426089152,-2.12538478,0.700551985,1,0,0,86,0
POPOUT092,Poplar,OUT,36.32340741,-112.2343209,2477,21.8013992,-0.919144959,17.0450001,0.749633,8,141.8549758,13.56957612,871,572,29.5,87.5,0,8.407692308,19.73846154,-2.061538462,21.8,510.4615385,165.4615385,38.52307692,127.6230769,312.6923077,2005.923077,3655.846154,170,200.7692308,145.8461538,278.8461538,132.9230769,86.61538462,-31.2,35.5,980.8461538,664.7692308,-4604.146154,55.38461538,3.366369293,-1.413126306,1.2935914,0,0,6,0,0
POPOUT094,Poplar,OUT,36.32366347,-112.2304704,2488,190.4909973,0.824037181,6.2758799,0.854156,5,131.2772096,11.42521503,689,462,36.5,5,2.5,8.338461538,19.66923077,-2.084615385,21.78461538,517.2307692,166.2307692,37.95384615,126.5846154,315.3076923,1994.461538,3669.307692,166.9230769,200.2307692,146.1538462,278.3846154,132.1538462,89.23076923,-31.2,35.4,976.5384615,660.8461538,-4604.169231,55.38461538,3.231744355,-1.463330856,1.236495526,4,0,0,15,0
POPOUT097,Poplar,OUT,36.32294154,-112.184138,2613,61.3894997,-0.959365702,6.79074,0.79576,52,27.00688515,1.871204109,996,499,11.5,0.5,7.5,7.707692308,18.88461538,-2.523076923,21.39230769,593.7692308,175,31.93076923,115.6692308,349.1538462,1830.923077,3863.076923,123.2307692,191.1538462,151.5384615,274.5384615,123,124.6153846,-32.3,34.7,935.7692308,609.9230769,-4604.307692,55.15384615,1.600654276,-2.043549598,0.762140136,4,1,0,32,0
POPOUT101,Poplar,OUT,36.32301286,-112.1658801,2561,33.6901016,-0.980580792,1.89159,0.797579,23,53.29555542,5.1391515,836,442,10,0,0,7.807692308,18.90769231,-2.392307692,21.28461538,589.7692308,172.3846154,32.33846154,117.3692308,340.2307692,1848.153846,3829.307692,125.0769231,194,149.3846154,275.5384615,126.2307692,121.2307692,-31.9,34.6,938.3076923,615.7692308,-4604.330769,55.69230769,1.771226151,-2.088435254,0.923000877,0,0,19,14,0
POPOUT103,Poplar,OUT,36.32198849,-112.1774952,2618,180,0.707106781,5.06635,0.838439,139,6.262062909,0.286333025,1219,726,3.5,2.5,0,7.646153846,18.83076923,-2.553846154,21.36153846,600.3846154,175.0769231,31.5,115.1769231,350.9230769,1818.307692,3875.923077,120.1538462,190.3846154,152,274.3076923,122.3076923,127.9230769,-32.4,34.6,933.3846154,606.3076923,-4604.307692,55.07692308,1.481552486,-2.109373456,0.733997045,0,0,0,103,0
